"x","y"
0,1.24709864290218e-23
1,6.22411479178297e-23
2,3.02584211645815e-22
3,1.43287008521078e-21
4,6.60935760855034e-21
5,2.96963838388426e-20
6,1.29968997176086e-19
7,5.54074101059824e-19
8,2.30084739933122e-18
9,9.30678461564991e-18
10,3.66693653464134e-17
11,1.40733991812378e-16
12,5.26122047543841e-16
13,1.91586930532062e-15
14,6.79574602860217e-15
15,2.3480118426603e-14
16,7.9023326718185e-14
17,2.59061106880189e-13
18,8.27258060594826e-13
19,2.57318896804e-12
20,7.79640222295947e-12
21,2.3009579131343e-11
22,6.61477377656272e-11
23,1.85230798780874e-10
24,5.05246467375835e-10
25,1.34241023381079e-09
26,3.47423431540276e-09
27,8.7584012827521e-09
28,2.15071297760405e-08
29,5.14436712957168e-08
30,1.19859741321465e-07
31,2.72023610199441e-07
32,6.01356136028429e-07
33,1.29493740497358e-06
34,2.71617462482218e-06
35,5.54955911442652e-06
36,1.10446296785859e-05
37,2.14109391973306e-05
38,4.0430783744834e-05
39,7.43670380995016e-05
40,0.000133241861585669
41,0.000232537383483546
42,0.000395309047020126
43,0.000654594886624071
44,0.0010558454332386
45,0.00165889907797397
46,0.00253881741239085
47,0.00378472956962549
48,0.00549578989098186
49,0.00777351195967585
50,0.0107101685070525
51,0.0143736550825732
52,0.0187901400449669
53,0.0239268042954093
54,0.0296777696992278
55,0.0358566494939995
56,0.0421987934744245
57,0.0483751410911859
58,0.0540177310145062
59,0.0587546594971259
60,0.0622501170085543
61,0.0642436064538832
62,0.064582006872654
63,0.0632390070985127
64,0.0603184858614747
65,0.0560412356356636
66,0.0507173853448959
67,0.0447093022729753
68,0.0383911225717762
69,0.0321111317664124
70,0.0261620816461127
71,0.0207625582179796
72,0.0160502319255704
73,0.01208575104673
74,0.00886457376463519
75,0.00633335679494162
76,0.00440759756460608
77,0.00298787067856642
78,0.00197293846873076
79,0.00126898698501098
80,0.00079504676998585
81,0.000485199192825099
82,0.000288429279074674
83,0.00016701308636101
84,9.42005723740674e-05
85,5.17545413320351e-05
86,2.76971618633106e-05
87,1.44382300266159e-05
88,7.33135968020817e-06
89,3.62616013784725e-06
90,1.74703382925766e-06
91,8.19874789632623e-07
92,3.74787961766292e-07
93,1.66884351634946e-07
94,7.23831503821056e-08
95,3.05809680728938e-08
96,1.25851054829461e-08
97,5.04492103814493e-09
98,1.96989813444355e-09
99,7.49247059557042e-10
